basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Дмитриев,Олег			Друзьям сороковых годов. — Время. [Стихи]	Юность	1959	12	95
Полевой Борис			Человек человеку — друг. [Докум. повесть о В. Гагановой]. Илл:  В. Инютин	Юность	1959	12	3-23
Токарев, С			Ранняя слава. [О воспитании молодых спортсменов]. Илл:  И. Оффенгенден	Юность	1959	12	103-106
Шишковский, Всеволод			Юность расправляет крылья. [Об успехахмолодых советских мастеров настольного тенниса]	Юность	1959	12	106-108
			«Юность», журн. Москва. Содержание журнала... за 1959 год	Юность	1959	12	109-111
Евтушенко, Евгений			За все отвечаем! — Люди — народ хороший!.. — Твоя душа. — О творчестве. — Труд. — Сейчас такое положение. — Студенческая столовая. — На самаркандском базаре. — «Я люблю этот город за то, что...» — Ракеты и телеги. — «Тысчитаешь, что все в твоей жизни сломано...» — Художники. — «Он отоднихдверей к другим дверям идет...» [Стихи]	Юность	1959	12	24-28
Гладилин, Анатолий			Дым в глаза.  Повесть о честолюбии. С прологом и эпилогом. Илл:  Б. Тальберг	Юность	1959	12	29-69
Ленч, Леонид			Пенсионеры.  Рассказ.  Илл:   В.  Богаткин	Юность	1959	12	70-73
Черепахова, Э			Хозяева. [О молодых строителях новой доменной печина Нижне-Тагил. металлургич. заводе. Очерк]. Илл:  Л. Ламм и Л. Мечников	Юность	1959	12	74-70
Богаткин, В	Шмаринов, А		У рыбаков Севера. [Мурман. обл. Заметки художников. Илл. авторов]	Юность	1959	12	80-81
Полухин, Юрий			На Коршунихе. [О молодых шоферах,работающих на строительстве железного рудника. Иркут. обл. Очерк].Илл: В.Инютин	Юность	1959	12	82-89
Зелеранский, Н	Ларин, Б		Главное направление.  [О членах ученической произвол, бригады колхоза им. Ленина. СтаницаГорячеводская Ставроп. края. Очерк]	Юность	1959	12	90-94
Кузнецов, Анатолий			...А небо надо штурмовать? [О жизненном призвании. Ответ на письмо в ред.]	Юность	1959	12	96-98
Маршак, С			59—60. Стихи	Юность	1960	1	44
			Поговорим о совести. [К обсуждению в журн.«Юность» вопросов коммунистич. морали]	Юность	1960	1	61
Кряквин, Евгений			Тверже скал. Стихи	Юность	1960	1	79
Крепин, Марат			Трое и один. Стихи	Юность	1960	1	79
Свободин, А			Своим языком. [О 7-й Всесоюз.выставке дипломных работ студентов худож. вузов СССРМосква. 1959]	Юность	1960	1	80
Лифшиц, Владимир			Честным словом дорожи, если далего, — сдержи! [Сатирич. стихи]. Илл:  Г. Калиновский	Юность	1960	1	111
			Три мушкетера и д'Артаньян — кто они? [Об ист.прообразах героев произведений А. Дюма. По материаламстатьи польского журн. «Вокруг света», основанной на новыхизысканиях франц.литературоведов]	Юность	1960	1	100-101
Лихолат, Владимир			Комсомольцы, вперед! [Очерки окомсомольцах 30-х годов]:  Арктический нарзан. — 150заявлений	Юность	1960	1	102-104
Бару, Илья			Год олимпийский. [Заметки спортивногообозревателя]	Юность	1960	1	105-110
Погодин, Николай			Янтарное ожерелье. Роман. Илл. П.Пинкисевич	Юность	1960	1	3-43
Качаев, Юрий			В минуту трудную. [Рассказы]:    1.Зуек. — 2.  На Агуле. Илл:  И. Блиох	Юность	1960	1	45-53
Сорин, Семен			О времени и о себе. Лирич. поэма	Юность	1960	1	54-60
Аграновский, Анатолий			Разная смелость. [Очерки олетчиках-испытателях] Илл:  Б. Тальберг	Юность	1960	1	62-71
Турков, А			Слава доктора Чехова. (К 100-летию со днярождения)	Юность	1960	1	72-74
Рассадин, Станислав			О девичьих косах и недовольномчитателе. [Заметки о сатирич. стихах]	Юность	1960	1	75-78
Симонов, А			Ветер вечного беспокойства. [Запискиучастника геол. подхода. Краснояр. край]. Илл:  Ю. Вечерский	Юность	1960	1	81-86
Гущев, Сергей			Как я искал будущее. [О перспективахразвития с.-х. техники]. Илл:  С. Исаев	Юность	1960	1	87-91
Крайнев, С			В трясине. [О деятельности баптистов инеобходимости усиления атеистич. пропаганды среди молодежи]	Юность	1960	1	92-95
Прудкова, Н			Село будущего. [Проблемы сел.архитектуры]	Юность	1960	1	98-99
Рождественский, Р			«Какие сухие слова...» Стихи	Юность	1960	2	1
Дрофенко, С			Путеукладчик. — «Едва зарю сыграетветер...» [Стихи]	Юность	1960	2	50
Костров, В			Старшим. — «Пусть и хотел...»    [Стихи]	Юность	1960	2	50
Евтушенко, Евг			«Считайте меня   коммунистом!»  Стихи	Юность	1960	2	3-4
Марков, Е			Под куполом цирка. [О воздушнойгимнастке И. Щетининой. Очерк]	Юность	1960	2	100-101
Васильев, Вик			«Загадка Таля». [О победителе турнирапретендентов на матч с чемпионом мира по шахматам]	Юность	1960	2	106-111
Львов, Сергей			Спасите наши души! Повесть. Илл:  Г.Калиновский	Юность	1960	2	5-49
Погодин, Николай			Янтарное ожерелье. Роман. Илл:  П.Пинкисевич	Юность	1960	2	51-73
Елагина, А			Спор. [О любви и дружбе]. Разговор подушам. Илл:  Г. Калиновский	Юность	1960	2	76-80
Гудзенко, Семен			Из записных книжек. (1941-1942) [Спредисл. Е. Долматовского «Солдатский дневник будущего поэта»]	Юность	1960	2	82-86
Крутилин, С			Новь. Бригада «Юности» в колхозе «Зарясоциализма». [Семилук. район Воронежской обл.] Репортаж.СтихиС. Сорина. Илл:  А. Пауков	Юность	1960	2	87-93
Черепахова, Э. А			такт есть? [О культуре поведения].Илл: К. Багрова	Юность	1960	2	94-96
Прудкова, Н			Москва, площадь Коммуны... [Обэкспонатах Центр. музея Советской Армии]	Юность	1960	2	97-99
Вилин, В			Автограф Джузеппе Гарибальди.[Публикация автографа на фотографии, подаренной русскойдет. писательницеА. Н. Толиверовой-Якоби в июле 1872 г.]	Юность	1960	2	99-100
Демыкина, Г			В утренней электричке. Стихи	Юность	1960	3	28
Кашежева, И			Матерям. — «Ты сказала ему:  «Неезди!..» — Погибшим. [Стихи]	Юность	1960	3	28
Балкарова, Ф			Дочь народа. — Капля солнца. [Стихи.Пер. с кабард:  В. Звягинцева; А. Онищенко]	Юность	1960	3	29
Борисова, М			Рюкзак. — Ночной приказ. [Стихи]	Юность	1960	3	29
Рождественский, Роберт			Время. Новые стихи:  Людям,чьих фамилий я не знаю. — Песня. — Вступающим в жизнь. —«Почем фунт лиха?..» — Друг. — Нахожусь ли в дальних краях... — Оличном. — Перед расставанием. — «Я проживу не слишком долгий век...»	Юность	1960	3	2-6
Розов, Виктор			Неравный бой. Комедия в 3 д. Илл:  В.Высоцкий	Юность	1960	3	7-27
			Итак:  что же такое совесть? [К обсуждению в журн.«Юность» вопросов коммунистич. морали. Письма читателей]: М.Шаволина. Нет точной формулировки. — В. Сокольников. Без пятнышка. — В.Лясников. Мерило душевной чистоты. — Л. Шафоростова.Зачетыавансом	Юность	1960	3	102-104
Поляков, А			Пешком к стратосфере. [Заметки обальпинизме]	Юность	1960	3	105-109
Романов, И			Почему надо знать историю шахмат?	Юность	1960	3	109-110
Журахович, С			Нетипичная история. Рассказ. Пер. сукр: А. Г. Островский. Илл:  И. Блиох	Юность	1960	3	30-34
Погодин, Николай			Янтарное ожерелье. Роман. Илл:  П.Пинкисевич	Юность	1960	3	35-66
Копелев, Лев			Победы и поражения Ремарка.  [Отворчестве нем. писателя]	Юность	1960	3	67-70
Борщевский, Л			Знакомьтесь:  университет культуры.[Из опыта ун-та культуры Дзержинского района Москвы]. Илл: Ю.Зальцман	Юность	1960	3	71-75
Морозова, Н			Общее житье. [Очерк о моск.молодежных общежитиях]	Юность	1960	3	76-79
Мержанов, Мартын			Поэма, написанная кистью. [Отворчестве художника М. С. Сарьяна]	Юность	1960	3	80-81
Езерский, С			Пятнадцать дней. [О туристском походеучащихся старших классов по Ленингр. обл.] Записки учителя.Илл: В.Беляков и А. Тертыш	Юность	1960	3	82-87
Мазовер, Я			Край большой энергетики. [О перспективахразвития энергетики Вост. Сибири]. Илл:  С. Федоров	Юность	1960	3	88-92
Кряжевский, А			Заводские будни. [О молодых рабочихЧеляб. кузнечно-прессового завода]. Илл:  В. Красновский	Юность	1960	3	93-95
Рябов, Ф			Юные герои Коммуны. [Из историиПарижской Коммуны]	Юность	1960	3	98-100
Павлинов, Владимир			Ленин. Стихи	Юность	1960	4	5
Сорин, Семен			Верю,   будет...   [Стихи о В. И. Ленине]	Юность	1960	4	6
Лискер, Виктор			Ленин. Собрание сочинений. Стихи	Юность	1960	4	6
			Продолжаем разговор. [К обсуждению в журн. «Юность» вопросов коммунистич. морали. Письма читателей]:  Х. Гаджиев.Доброе дело. — Ф. Мухин. Комсомольский долг	Юность	1960	4	74
Иванова, Л			Жизнь — по-ленински! [К 90-летию со дня рождения В. И. Ленина]	Юность	1960	4	2-4
			Глядя на фотографию... Фотодокументы о В. И. Ленине. Тексты В.Стеклова, С. Коненкова, Е. Стасовой, С. Гиля, В. Ульянова, В. Казина,И. Талкина	Юность	1960	4	7-13
Сокольников, В	Кондратов, Э		Танина звездочка. [О Герое Соц. Труда, свинарке совхоза «Победитель» Т. Перешивко. Омскаяобл. Очерк]	Юность	1960	4	101-103
Кузнецов, В			На дне бездны. [С послесл. Л. Зенкевича «О спускебатискафа на дно Марианской впадины»]	Юность	1960	4	103-106
Васильев, Вик			«Третий ингредиент». [О значении психол.подготовки спортсмена]. Илл:  В. Сафронов	Юность	1960	4	107-110
Юдович, М			Советы мастера. [В помощь юным шахматистам]	Юность	1960	4	110-111
