aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Соколов, Николай			Народная гвардия. [Стихи]	Молодая гвардия	1959	11	4
Жанэ, Киримизе			Мой аул. [Стихи]. Пер. с адыг:  Ю. Полухин	Молодая гвардия	1959	11	5
Варин, Егор			Моя страна. [Стихи]	Молодая гвардия	1959	11	6
Сайяр			«Так огромна ты, Родина-мать...» Стихи. Пер. с узбек: Н.Старшинов	Молодая гвардия	1959	11	7
Панченко, В			Гранитное сердце. [Стихи]. Пер. с укр:  Ю. Полухин	Молодая гвардия	1959	11	7
Молдокматов, Абдыкалый			Водопад.  Стихи. Пер. с киргиз: В. Цыбин	Молодая гвардия	1959	11	98
Хаппалаев, Юсуп			Подарок друга. [Стихи]. Пер. с дакского: Я.Козловский	Молодая гвардия	1959	11	98
Кочетов, Всеволод			Свет Октября. [К 42-й годовщине Великой Октябрьской соц. революции. Заметки писателя]	Молодая гвардия	1959	11	3-7
Кочетов, Всеволод			Свет Октября. [К 42-й годовщине Великой Октябрьской соц. революции. Заметки писателя]	Молодая гвардия	1959	11	3-7
Иванов, Борис			Дни, которые потрясли мир. [К итогам поездки Н. С. Хрущева в США. Из записной книжки журналиста]	Молодая гвардия	1959	11	8-17
Елагин, Владимир			Это тоже дерзание! [О развитии прогрессивныхметодов работы в сел. хозяйстве]	Молодая гвардия	1959	11	153-162
Давидьянц, Д			Лицом к лицу. [Очерки о VII Всемирном фестивале[Молодежи и студентов]	Молодая гвардия	1959	11	163-173
			Станок, книга, любовь. [О моральном облике советского молодогочеловека. К обсуждению пшсьма В. Мушникова, рублик. в журн. «Молодая гвардия» 1959 5. Статьи]:  П. Толстуха.Нам до всего есть дело. — Г. Айзенштадт. Только ли труд украшаетчеловека? — Г. Косова. Умеешь ли ты видеть прекрасное?	Молодая гвардия	1959	11	174-182
Тендряков, В			За бегущим днем. Роман	Молодая гвардия	1959	11	18-97
Ласкина, А			Полярный день. [О творчестве молодых художников А. Рыбачук и В. Мельниченко]	Молодая гвардия	1959	11	183-188
