aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Новиков, Николай			Осеннее море. — Распустилсяминдаль... [Стихи]	Наш современник	1959	5	191
Ушаков, Дмитрий			Ушла девчонка в степь одна...[Стихи]	Наш современник	1959	5	192
Ильяшенко, Юрий			Хроника села Солдатова. [О колхозеим. Калинина. Больше-Нарым. район Вост.-Казахст. обл.] Илл:  Д.Пивоваров	Наш современник	1959	5	100-159
Солоухин, Владимир			Терновник. (Осенний дневник).Илл: Г. Сундарев	Наш современник	1959	5	160-190
Борисова, Алла			Невеста. [Стихи]	Наш современник	1959	5	192-193
Кильчичаков, Михаил			Рубай. [Стихи]. Пер. с хакас:  В.Семенов. Илл:  В. Никольский	Наш современник	1959	5	193-194
Полторацкий, В			Гнездо хрустального гуся.   [г.Гусь-Хрустальный. Очерк]	Наш современник	1959	5	196-200
Канторович, Владимир			Еще раз о «ты» и «вы».[Этические заметки]	Наш современник	1959	5	221-234
Борщаговский, Александр			Остров всех надежд.Повесть. Илл: И. Пчелко	Наш современник	1959	5	3-95
Марьинский, Валентин			Война с простого начиналась...— Родные меня упрекают... [Стихи]	Наш современник	1959	5	96-98
Парфентьев, Виктор			Рыжий август.[Стихи]:  «Струятся стежки золотые...» — «Маленький,засыпанный порошей...» — «Я был вСибири и на Волге...» Илл:  В. Никольский	Наш современник	1959	6	154
Журавлев, Василий			Ехор.  [Стихи]: Зачин. — Хоровод. — Песня девушек. — Женихи. —Всадник. — Выход. — Батор. — Песня чабана.— Невеста. — Перепляс. — Хор. — «Пал-туман над далью зыбкой...» Илл: В. Никольский	Наш современник	1959	6	149-153
Микулина, Елена			Человек, как онесть. [Об экскаваторщике Б. Павленко, бригадире первойкомплексной бригады строителейГЭС]. Очерк	Наш современник	1959	6	155-181
Подляшук, Павел			Судьба угольногоПодмосковья	Наш современник	1959	6	182-205
Колесникова, Г			Сергей Залыгин.[Заметки о творчестве писателя]	Наш современник	1959	6	206-218
Чачин, В. П			Какое нам нужноземледелие? [К итогам дискуссии поосновнымпроблемам земледелия в журн.   «Наш. современник»]	Наш современник	1959	6	219-228
Босняцкий, Евгений			Вся жизньвпереди. Повесть. Илл:  Н. Петров	Наш современник	1959	6	3-113
Солоухин, Владимир			Времена года. (Картины среднерусской природы). [Киносценарий видового фильма]	Наш современник	1960	1	123-134
Тихонов, Николай			«Я как дракон, видавший в жизни много...» —Хлеб народа.  [Стихи]	Наш современник	1960	1	135-137
Ушаков, Николай			Старым вагонам. Стихи	Наш современник	1960	1	137-138
Фирсов, Владимир			«Я говорю с тобой наедине...» — В ночном. —Поэту-земляку.   [Стихи]	Наш современник	1960	1	139-140
Хелемский, Яков			«Люблю я этот, густо населенный...» — «Строки гекзаметра снова на старой плите зазвучали...» [Стихи]	Наш современник	1960	1	141-142
Иванов, Леонид			Времена меняются. Очерк	Наш современник	1960	1	143-179
Буковский, К			Закончен ли разговор? [К дискуссии по основнымпроблемам земледелия]. Т. С. Мальцев в ред. «Нашегосовременника»	Наш современник	1960	1	200-206
Юньев, И. С			Нужно общество краеведов	Наш современник	1960	1	213-216
Деймонтович, Бронислав			О табаке и никотине	Наш современник	1960	1	216-221
Пустовойт, П			Какой нам нужен язык? [По поводу статей А. Югова «О народности писательского языка» в журн. «Нева» 1958 5и«Эпоха и языковый пятачок», «Лит. газ.», 1959, 15, 17янв.]	Наш современник	1960	1	222-231
Славин, Лев			Из книги «Человек и слово»:  1. Ильф и Петров. — 2. Кольцов в Испании	Наш современник	1960	1	232-244
