basic_molodaia_gvardiia	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Рыленков, Н			Два стихотворения:  «Еще много дорогнехоженых...» — «Много ль мне нужно — краюшка хлеба...»	Новый мир	1960	1.00	77
Вересаев, В			Записи для себя. Фрагменты из книги.[Публикация подгот. Ю. Бабушкиным]	Новый мир	1960	1.00	154-166
Утченко, С.			Рим — Лондон — Париж. [Путевые заметки и размышления историка окризисе буржуазной культуры]	Новый мир	1960	1.00	186-207
Тихомиров, М. Н			О библиотеке московских царей.(Легенды и действительность)	Новый мир	1960	1.00	196-202
Македонов, А			Красота простоты. (Еще обИсаковском)	Новый мир	1960	1.00	210-222
Лакшин, В			Чехов и Лев Толстой. К 100-летию со днярождения А. П. Чехова	Новый мир	1960	1.00	223-245
Модзелевская, Наталия			Рыцари вечного разлада.  [Одраматургии А. П. Чехова]. Письмо из Варшавы	Новый мир	1960	1.00	246-254
Анастасьев, А			Реплика критику. [По поводу статьи Н.Модзелевской «Рыцари вечного разлада» (журн. «Новый мир» 1960 1), посвящ. драматургии А. П. Чехова]	Новый мир	1960	1.00	254-257
Давыдова, Наталья			Любовь инженера Изотова. Роман	Новый мир	1960	1.00	3-72
Гильен, Николас			Ленин. — Земля на горах и наравнине. (Кубин. песня, сопровождающая танец). — Тыможешь?.. [Стихи].Пер. с испан:  О. Савич	Новый мир	1960	1.00	73-76
Дудинцев, В			Новогодняя сказка	Новый мир	1960	1.00	78-96
Ваншенкин, Константин			Армейская юность. Короткиезаметки	Новый мир	1960	2.00	140-174
Андроников, Ираклий			Личная собственность. [Обист.-лит. документам из коллекции Бурцевых]	Новый мир	1960	2.00	175-203
Яковлев, Б			Новый Ленинский сборник.  [К выходу всвет XXXVI Ленинского сборника]	Новый мир	1960	2.00	204-211
Маркин, А			Слово берет энергетика. [Проблемыразвития энергетики в СССР]	Новый мир	1960	2.00	212-226
Кузнецов, М			О путях развития современного романа	Новый мир	1960	2.00	227-250
Казакова, Римма			Песня. — «Кто б нас ни заменил...»— «Мы станем скупее на чувства...» [Стихи]	Новый мир	1960	2.00	45-48
Давыдова, Наталья			Любовь инженера Изотова. Роман	Новый мир	1960	2.00	49-76
Маршак, С			В начале жизни.   Страницы воспоминаний	Новый мир	1960	2.00	81-139
Сюпервьель, Жюль			Из цикла «Военные невзгоды». [Стихи. Пер. с франц:  М. Кудинов]	Новый мир	1960	3.00	142
Арагон, Луи			Рождественские розы. [Стихи. Пер. сфранц: М. Кудинов]	Новый мир	1960	3.00	143
Дэкон, Люк			Ответы. [Стихи. Пер. с франц:  М.Кудинов]	Новый мир	1960	3.00	144
Клэнгсор, Тристан			Песенка про спящих кошек. [Стихи. Пер. с франц:  М. Кудинов]	Новый мир	1960	3.00	145
Жакэн, Абель			Береги свою голову. [Стихи. Пер. сфранц: М. Кудинов]	Новый мир	1960	3.00	146
Сернэ, Клод, Человек			[Стихи. Пер. с франц:  М.Кудинов]	Новый мир	1960	3.00	144-145
Бабочкин, Борис			Немножко Франции.   [Путевыезаметки]	Новый мир	1960	3.00	147-168
Ямпольская, Ек			В те памятные годы. [Воспоминания оВ. И. Ленине. 1918 г.]	Новый мир	1960	3.00	169-172
Эгеде-Ниссен, Адам			У Ленина в Смольном.[Воспоминания норвеж. коммуниста. Из книги «Жизнь в борьбе», изд. вОсло]	Новый мир	1960	3.00	172-174
Брайант (Рид), Луиза			Мое знакомство с Лениным.[Воспоминания. америк. журналистки. Из книги «ЗеркалаМосквы»,изд. в 1923 г. Пер. с англ.]	Новый мир	1960	3.00	174-175
Струмилин, С			Всеобщее разоружение и экономика	Новый мир	1960	3.00	176-186
Иванов, Леонид			В поход на сорняки! [К вопросамповышения урожайности]	Новый мир	1960	3.00	187-196
			Послесентябрьские раздумья. [По поводу опублик. вамерик. журн. «Атлантик» статьи Л. Мэмфорда «Моральмассовогоуничтожения». С прил. сокр. текста статьи]	Новый мир	1960	3.00	196-206
Данин, Д			Жажда ясности. (Что же такое науч.-худож.литература?)	Новый мир	1960	3.00	207-226
