aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Голубев, Ф			Звуковой барьер.   [К вопросамспециализации колхоз. производства на основе комплексноймеханизации. Наматериале колхозов Калининской обл.]	Октябрь	1959	12	3-20
Рыленков, Николай			Сон в летнюю ночь. [Стихи]	Октябрь	1959	12	104-107
Ушаков, Николай			Монгольскому Другу, подарившемумне лук и стрелы. — Туристы. [Стихи]	Октябрь	1959	12	108-109
Боков, Виктор			Люберцы. — Обоянь. — Размолвка. — Город. [Стихи]	Октябрь	1959	12	110-113
Татьяничева, Л			Верить людям — это значит... [Кдискуссии в связи со статьей Л. Шейнина «Человек и закон» (журн.«Октябрь» 1959 8)]	Октябрь	1959	12	114-125
Мотяшов, И			Хозяева красоты. [К дискуссии в журн.«Октябрь» на тему «Эстетика и современность»]	Октябрь	1959	12	126-132
Маевский, В			Австралийские записки	Октябрь	1959	12	133-143
Борисов, Е	Пятнова, И		Ключ к солнцу. [Проблемыразвития теории и техники полупроводников]	Октябрь	1959	12	144-154
Дынкин, А			На древней земле фараонов.   [Впечатленияот поездки в Объедин. Араб.  Республику]	Октябрь	1959	12	155-175
Пархитько, В			Когда созревают оливы. [Впечатления отпоездки в Испанию]	Октябрь	1959	12	176-L89
Исбах, Александр			Друг советского искусства. [К15-летию со дня смерти Р. Роллана]	Октябрь	1959	12	190-196
Колесникова, Галина			Страна с большими горизонтами.[Отображение Сибири в советской литературе последних лет]	Октябрь	1959	12	197-206
Горелик, И			Обещание. Роман	Октябрь	1959	12	21-103
Мышковская, Л			Особенности творческойиндивидуальности Чехова	Октябрь	1959	12	212-219
			«Октябрь», журн. Москва. Содержание журнала... за1959 год	Октябрь	1959	12	220-223
Татьяничева, Людмила			Бор звенит. Стихи:  Ракета. —Юноше. — Четыре времени в году. — Корабельный бор. —Берега.—«Покупных мне цветов не дари...» — Кольца	Октябрь	1960	1	100-102
Панферов, Федор			Что такое коммунизм. [Заметкиписателя]	Октябрь	1960	1	103-123
Петровский, Б			Хирург лечит сердце. [К обсуждению вжурн. «Октябрь» проблемы «Здоровье и красота»]	Октябрь	1960	1	124-133
Скатерщиков, В			Прекрасное — в жизнь! [Кобсуждению в журн. «Октябрь» проблемы «Эстетика исовременность»]	Октябрь	1960	1	134-139
Никулин, Лев			По Франции. [Очерк]	Октябрь	1960	1	140-159
Богословский, Н			Ранний Чехов	Октябрь	1960	1	160-175
