aut_lastn, aut_firstn	aut_lastn, aut_firstn	aut_lastn, aut_firstn	contribution_title	journal	year	issue	page_range
Липатов, Виль.			Мистер-Твистер. Рассказ	Знамя	1957	2	61—95
Рождественский, Роберт.			Новые стихи: «Зря браслетами не бряцай...» — «Плюньте наизящный ореол...» — Молитвы инка. — Коррида в Лиме	Знамя	1959	9	62—67
Маршак, С			Из «Лирической тетради». [Стихи]:  «В столичном немолкнущем гуде...» — «Порой часы обманывают нас...» — «Возраст один у меня и у лета...» — «Когда, как темная вода...» — Эпитафия.— Воздушная колыбельная. — «Преодолев столетий косность...» —Как в первом Октябре..	Знамя	1959	12	108-109
Бек, Александр			Счастливая рука. Рассказ хирурга	Знамя	1959	12	110-127
Дворецкий, Игнатий			Сибирь, Сибирь... [О работах по пром.освоению района Братска. Очерк]	Знамя	1959	12	128-167
Иванов, Леонид			Поиски. [К проблемам улучшения племенного дела и производства белковых кормов. На примере совхоза «Омский». Омская обл. Заметки публициста]	Знамя	1959	12	168-181
Ильинский, Игорь			О самом важном. [К проблемам развития советской драматургии и театра. Заметки актера]	Знамя	1959	12	182-190
Нагибин, Юрий			О Чехове. [К 100-летию со дня рождения]	Знамя	1959	12	191-195
Эльяшевич, Арк			О масштабе характеров. [Лит.-критич. заметки]	Знамя	1959	12	196-206
			«Знамя», журн. Москва. Содержание журнала... за 1959 год	Знамя	1959	12	221-224
Симонов, Константин			Живые и мертвые. Роман. Ч. 1-3	Знамя	1959	12	3-107
Тихонов, Николай			Мыс Дондра. Стихи	Знамя	1960	1	3-9
Чаковский, Александр			Дороги, которые мы выбираем.Роман	Знамя	1960	1	10-53
Слуцкий, Борис			Новые дома. Стихи:  Жилищноестроительство. — Вселение. — Окраина. — «Когда-нибудьМосква достроится...»— «Я учитель школы для взрослых...»	Знамя	1960	1	107-109
Чуковский, Николай			Трудна любовь. Рассказ	Знамя	1960	1	110-142
Рябчиков, Е			Партия ведет. [О достижениях советской  экономики, науки и культуры в 1959 г. Заметки публициста]	Знамя	1960	1	143-157
Курганов, О			Путешествие в атомный век.  [Остроительстве Ново-Воронежской атомной электростанции. Очерк]	Знамя	1960	1	158-170
Шкловский, Виктор			Впереди   времени.   [К 100-летиюсо дня рождения А. П. Чехова]	Знамя	1960	1	171-185
Макаров, А			Вспоминая Чехова. [К 100-летию со днярождения]	Знамя	1960	1	186-209
Книпович, Е			Писатель и новая действительность. [Оработах лит. критика В. Перцова, вошедших в одноим.сборник]	Знамя	1960	1	210-219
Солоухин, Владимир			Капля росы. [Повесть]	Знамя	1960	1	54-106
Панкратов, Юрий			Север и Восток. Стихи:  Волга. —Дождь. — Тергеш. — «О земля — зеленый ветер...» — «Небостало оченьсиним...»	Знамя	1960	2	126-128
Тихомиров, Вл			Проблема пространства. Рассказ	Знамя	1960	2	129-131
Озорнов, Леонид			Рассказ о первом планшете	Знамя	1960	2	132-145
Семенов, Юлиан			Лахме вернется в 8.00. Рассказ	Знамя	1960	2	146-155
Полевой, Борис			15 лет спустя. (Из румын. дневника)	Знамя	1960	2	156-187
Рощин, М			Новый приток.  (На заводе имениВладимира Ильича). [О работе комиссий парт. организаций поконтролюза деятельностью администрации. Очерк]	Знамя	1960	2	188-199
Панков, Виктор			Время, дела, лирика.  [Советскаяпоэзия в 1959 г. Обзор]	Знамя	1960	2	200-218
Солоухин,  Владимир			Капля росы. [Повесть]	Знамя	1960	2	3-76
Чаковский, Александр			Дороги, которые мы выбираем.Роман	Знамя	1960	2	77-125
Демин, Михаил			Рассвет. Стихи	Знамя	1960	3	142
Куняев, Станислав			Ракета на выставке. Стихи	Знамя	1960	3	143
Асеев, Николай			Станция «Выдумка». Стихи	Знамя	1960	3	110-115
Кирсанов, Семен			Ленинградская тетрадь. Стихи	Знамя	1960	3	116-125
Емельянова, Н			Такая девушка. Рассказ	Знамя	1960	3	124-142
Причард, Катарина Сусанна			Два рассказа:  Белый индюк. — Рождество в Иенде. Пер. с англ:  Н. Ветошкина и Э.Питерская	Знамя	1960	3	143-169
Яковлев, Б			«Профессия:  публицист». [О характерныхчертах Ленина-публициста]. К 90-летию со дня рождения В. И.Ленина	Знамя	1960	3	160-172
Мацкевич, В			Колхозы и совхозы во. втором годусемилетки.[Публицистич. заметки]	Знамя	1960	3	173-183.             ·
Кабалевский, Дм			Заметки об Америке. [Впечатления членаделегациисоветскихкомпозиторов]	Знамя	1960	3	184-203
Кедрина, З			Труд и характер. [О романе Б. Кербабаева«Небит-Даг»]	Знамя	1960	3	204-214
Чаковский, Александр			Дороги, которые мы выбираем Роман	Знамя	1960	3	3-109
			Слово о Ленине. [К 90-летию со дня рождения В. И. Ленина. Статьи]:  Г. Абашидзе. Символ света. — М. Ауэзов. Человек мира. — Г. Борян. Сеятель жизни. — П. Бровка. Человек-солнце. — В.Гаганова. В нашем сердце. — Д. Гулиа. Живой ленинизм. — М.Ибрагимов. Родник дружбы. —А. Первенцев. Вот что такое Ленсо! — Б. Полевой. Великая любовь. — Ш.  Рашидов. Рахмат  Ленину! — М.  Рыльский. Штрихи характера. — Я. Судрабкалн. Всегда с народом	Знамя	1960	4	3-30
Жуков, Н. Н			Великая тема.   [О работе над образом В. И. Ленина]. Заметки художника	Знамя	1960	4	147-154
Рюриков, Б			Читая Ленинский сборник... [О XXXVi Ленинском сборнике]	Знамя	1960	4	155-166
Кренкель, Эрнст			Советский характер. [О мужестве и героизме советских воинов А. Р. Зиганшина, Ф. Г. Поплавскрго, А. Ф.Крючковского и И. Е. Федотова, проявл. в борьбе со стихией]	Знамя	1960	4	167-170
Грибачев, Николай			После урагана.  [Заметки журналиста о поездке Н. С. Хрущева в США]	Знамя	1960	4	171-206
Якименко, Л			Человечность, народность, мастерство. (О 2-й книге «Поднятой целины» М. Шолохова)	Знамя	1960	4	207-224
Кирсанов, Семен			При Ленине. Стихи	Знамя	1960	4	31-33
Кожевников, Вадим			Знакомьтесь, Балуев. Повесть	Знамя	1960	4	34-146
Хо Ши Мин			Утро. — Ясное небо. — Средина осени. —«Над высокою кроною месяц в окне...» — «Вот и январь.Полночный небосвод...» [Стихи]. Пер. с Вьетнам:  К. Гусев	Знамя	1960	5	3-4
Дар, Д	Ельянов, А		Третье путешествие. [Запискиучастников туристской поездки на велосипедах смоторчиками]	Знамя	1960	5	120-138
Гинзбург, Лев			На рубеже. [О Герм. Демократич.Республике. Заметки писателя]	Знамя	1960	5	139-160
Викторов, В			Пять колец над Скво Вэлли. [Заметкиспортивного обозревателя о VIII Зимних олимпийских играх]	Знамя	1960	5	161-176
Панков, Виктор			На стрежне жизни. (Заметки омастерстве М. Шолохова)	Знамя	1960	5	177-188
Старикова, Е			Исповедь обыкновенного человека.[Заметки о романе В. Тендрякова «За бегущим днем»]	Знамя	1960	5	189-207
Макаров, А			Сердце с правдой вдвоем. [О поэзии М.Турсун-заде]	Знамя	1960	5	208-211
Рыленков, Н			Поэзия большой мысли. [О творчестве М.Рыльского]	Знамя	1960	5	212-214
Бушин, В			Добрый талант. [О рассказах Э. Шима]	Знамя	1960	5	217-221
Кожевников, Вадим			Знакомьтесь, Балуев. Повесть	Знамя	1960	5	5-55
Тихомолов, Борис			Записки старого летчика. Рассказы:Экзотика. — Гроза. — Жаворонки. — Помеха	Знамя	1960	5	56-66
Татьяничева, Людмила			Четыре стихотворения:  Лилия.— Фонарь. — Ты часто сетовал... — Июль	Знамя	1960	5	67-68
Аграновский. Анатолий			Большой старт. Повесть одерзании	Знамя	1960	5	69-119
Рыленков, Ник			Новые стихи: «Во имя человеческого счастья...»—«Лишь сердце словужизнь дает...» — «Что любви твоей достоверней...» — «Не по-праздничномупозолоченную...»	Знамя	1960	6	114-115
Минаев, Владислав			Департамент грязных дел. Заметки о подрывной работе америк.разведки	Знамя	1960	6	116-141
Захарченко, Вас			Машины времени. (Размышления об автоматизации)	Знамя	1960	6	142-161
Дар, Д	Ельянов, А		Третье путешествие. [Записки участников туристской поездки навелосипедах с моторчиками]	Знамя	1960	6	162-177
Гринберг, И			Ближние и дальние. [О героях соврем. литературы]	Знамя	1960	6	178-194
Кетлинская, Вера			Иначе жить не стоит. Роман. Ч. 1	Знамя	1960	6	3-93
Преловский, Анатолий			На Ангаре. Стихи: Ангара. — Трасса. — Город и палатки. —Тайга. — Новый город. — В путь	Знамя	1960	6	94-96
