contribution_title	aut_id	aut_viaf	aut_lastn_r	aut_firstn_r	aut_lastn_e	aut_firstn_e	journal	year	issue	start_page	end_page	pagetotal comments
Человек. — «Моя мама не пишет мне...» [Стихи].	14466	14466	Маркиш	Давид			Знамя	1964	11	133	134	
Откровение. — «В долинах разлегшихся, в россыпях гор...» [Стихи]	14466	14466	Маркиш	Давид			Юность	1968	7	54	54	1
Бросок та юг. Повесть. [5-я книга из цикла «Повесть о жизни»]	15507	15507	Паустовский	Константин	Paustovskii	Konstantin	Октябрь	1960	10	4	121	118
Дорожные записи. [О поездке по Италии]	15507	15507	Паустовский	Константин	Paustovskii	Konstantin	Новый мир	1962	5	155	165	11
О человеке и друге. [Памяти Э. Г. Казакевича.1913—1962]	15507	15507	Паустовский	Константин	Paustovskii	Konstantin	Новый мир	1962	10	287	288	2
Мимолетный Париж. [Очерк]	15507	15507	Паустовский	Константин	Paustovskii	Konstantin	Октябрь	1960	3	184	203	20
Амфора. Рассказ	15507	15507	Паустовский	Константин	Paustovskii	Konstantin	Октябрь	1961	2	126	138	13
Книга скитаний. Повесть. [6-я книга из цикла «Повесть ожизни»]	15507	15507	Паустовский	Константин			Новый мир	1963	10	63	11	-51
Книга скитаний. [Повесть. 6-я книга из цикла «Повесть ожизни»]	15507	15507	Паустовский	Константин			Новый мир	1963	11	33	38	6
Третье свидание. [Воспоминания о поездке в Польскую Нар.Республику]	15507	15507	Паустовский	Константин			Новый мир	1963	6	93	116	24
Д. Посвящается Эсме. [Рассказ  америк. писателя]. Пер. с англ: С.Митина	17092	17092	Сэлинджер	Дж	Selindzher	Dzh	Новый мир	1961	3	63	78	16
Д. Два рассказа [американского писателя]: В ялике. —Человек, Который Смеется. [Пер. с англ: Н. Галь; В. Жельвис]	17092	17092	Сэлинджер	Дж	Selindzher	Dzh	Новый мир	1962	4	140	154	15
Голубой период де Домье-Смита. [Рассказ америк. писателя]. Пер. сангл.: Ю. Жукова	17092	17092	Сэлинджер	Дж Д			Новый мир	1963	11	149	166	18
Когда отец ушел на фронт. Повесть	36407	36407	Щеглов	Юрий			Новый мир	1969	4	71	97	27
По «новой» русской дороге («движение открыто»). С натуры. [Очерк. Публикация А. В. Храбровицкого. С предисл. ред.]	51830	51830	Короленко	В Г	Korolenko	V G	Наш современник	1962	3	184	191	8
Мишка-вор. Басня. [Публикация и предисл. С. Бурдянского]	51830	51830	Короленко	В Г	Korolenko	V G	Октябрь	1962	12	115	117	3
Хорошо! [Обзор журн. «Театр» 1960 1, посвящ. А. П. Чехову]	117504	117504	Паперный	З	Papernyi	Z	Новый мир	1960	3	236	238	3
Высокий костер. (О лирике М. Светлова).	117504	117504	Паперный	З			Октябрь	1961	1	187	194	7
Давайте будем! [О развитии молодежного спорта]. Илл: И. Оффенгенден	117504	117504	Паперный	З	Papernyi	Z	Юность	1962	3	107	112	6
Мы отдохнем! [О культ. отдыхе советской молодежи]. Илл: Ю. Черепанова	117504	117504	Паперный	З	Papernyi	Z	Юность	1962	11	97	104	8
Смех Чехова	117504	117504	Паперный	З			Новый мир	1964	7	224	232	9
Романтика человечности. (К 60-летию со дня рождения М. А. Светлова)	117504	117504	Паперный	З			Новый мир	1963	6	243	249	7
За здоровый смех! [Юмористич. заметки].	117504	117504	Паперный	З			Юность	1964	7	91	94	4
Наедине с толпой. [О поведении в обществ. местах.Фельетон]	117504	117504	Паперный	Зиновий			Юность	1969	4	94	98	5
Многодетный жених. Фельетон.	117504	117504	Паперный	Зиновий			Юность	1968	5	98	101	4
Секреты «простого стиля». Заметки о мастерстве Твардовского	123293	123293	Турков	А	Turkov	A	Знамя	1960	7	186	200	15
Заметки о критике	123293	123293	Турков	А	Turkov	A	Новый мир	1961	4	238	245	8
Слава доктора Чехова. (К 100-летию со днярождения)	123293	123293	Турков	А	Turkov	A	Юность	1960	1	72	74	3
Ленин у вхутемасовцев. [О посещении В. И. Лениным Высш. худож.-техн. мастерских. 1921 г. По воспоминаниям бывшихвхутемасовцев]	123293	123293	Турков	А	Turkov	A	Юность	1960	4	22	26	5
«Вместе в вышину!» [О многонац. сов. литературе]	123293	123293	Турков	А			Юность	1972	12	52	53	2
Почерк войны. (О повестях Ю. Бондарева)	123326	123326	Золотусский	И	Zolotusskii	I	Знамя	1962	2	209	217	9
Не мальчик, но муж. [Образ современника в произведениях молодыхсоветских писателей]	123326	123326	Золотусский	Игорь	Zolotusskii	Igor'	Знамя	1962	9	189	190	2
На дальнем берегу. [Заметки о произведениях дальневост. писателей]	123326	123326	Золотусский	Игорь			Знамя	1963	6	204	217	
Добавление к эпосу. (Толстой в романе и Толстой в фильме).[Заметки о «Войне и мире»]	123326	123326	Золотусский	Игорь			Новый мир	1968	6	269	283	15
«Давай, земля...» — Гроза. — После грозы. — Березы. — Последняяосень. — «О чем писать?..» — Философские стихи. [Стихи]	160829	160829	Рубцов	Николай			Молодая гвардия	1971	6	106	112	7
О собаках. — Хлеб. [Стихи]	160829	160829	Рубцов	Николай			Молодая гвардия	1964	6	133	133	1
Стихи о Московском Кремле. — На ночлеге. —Последняя ночь. — На автотрассе. [Стихи]	160829	160829	Рубцов	Николай			Молодая гвардия	1969	1	158	160	3
Отплытие. — Взглянул на кустик. — Зеленые цветы. — Сибирскойдеревне. — Гуляевская горка. — В старом парке. [Стихи]	160829	160829	Рубцов	Николай			Молодая гвардия	1968	3	222	225	4
«Зачем ты ива, вырастаешь...» — «Листья осенние где-то во мглемирозданья...» [Стихи]	160829	160829	Рубцов	Николай			Молодая гвардия	1970	9	204	204	1
В осеннем лесу. — Прощальное. — «Когда же, когдаже...» — Старый конь. — Повесть о первой любви. — В пустыне. — Ось.[Стихи].	160829	160829	Рубцов	Николай			Наш современник	1968	1	54	67	14
Из слова высекать огонь. Стихи: Далекое. — «Мы будем свободны, какптицы...» — Венера. — Ферапонтово. — «Брал человек...» — Судьба. — У размытойдороги. — «У сгнившей лесной избушки...» — «Уже деревня вся в тени...» — Сентябрь. —Под ветвями больничных берез. — «За Вологду, землю родную...» Предисл. В. Астафьева.—	160829	160829	Рубцов	Николай			Наш современник	1971	6	64	69	6
Изба в снегах. Стихи: Последний пароход. — Вечерние стихи. —Ласточка. — Поэзия. — По дрова. — У церковных берез. — «По холодной осенней реке...»— По дороге к морю. — Ответ на письмо. — Про зайца. —«Стихи из дома гонят нас...»	160829	160829	Рубцов	Николай			Наш современник	1969	9	68	73	6
Пальмы юга. [Стихи]. —	160829	160829	Рубцов	Николай			Наш современник	1970	1	69	69	1
Звезда полей. — «Взбегу на холм и упаду в траву...» — Ночь наперевозе. — Хозяйка. — «Я буду скакать по холмам задремавшей Отчизны...» [Стихи]	160829	160829	Рубцов	Николай			Октябрь	1964	8	130	132	3
Сосен шум. Стихи: «До конца...» — «Когда стою вомгле...» — «В который раз меня приветил...» — Во время грозы. — Другу	160829	160829	Рубцов	Николай			Октябрь	1969	3	102	103	2
Ночь на родине. — Купавы. — Синенький платочек. — Ты с кораблемпрощалась... [Стихи]	160829	160829	Рубцов	Николай			Юность	1968	3	67	68	2
«Я весь в мазуте, весь в тавоте...» — «Я забыл, как лошадь запрягают...»— «Загородил мою дорогу обоз...» — Улетели листья. [Стихи]	160829	160829	Рубцов	Николай			Юность	1964	6	6	6	1
Зимняя песня. — «Стихи из дома гонят нас...» [Стихи]	160829	160829	Рубцов	Николай			Юность	1969	9	91	91	1
Из восьмистиший. — Соловьи. — Дорожная элегия. [Стихи]	160829	160829	Рубцов	Николай			Юность	1971	8	36	36	1
Власть и бессилие эмоций	271137	271137	Губерман	Игорь			Юность	1968	11	96	100	5
«Как ни трудно, работу не прерывайте...» [О переписке И. П. Павлова спатофизиологом С. И. Чечулиным. С публикацией писем]	325511	325511	Гладков	Т.			Юность	1971	10	81	86	6
Вьетнам, 1968. [Из путевых впечатлений о ДРВ]	325511	325511	Гладков	Теодор			Юность	1968	10	88	91	4
Республика, наука, ученые. [Об исследованиях молодыхученых МССР]	325511	325511	Гладков	Теодор			Юность	1972	12	91	95	5
Десять стихотворений: «Весна — от колеи шершавой...» — «Привычно клалон заводскую фундаментальную трубу...»— «Черней и ниже пояс ночи...» — «Средицементной пыли душной...» — «Платье — струями косыми...» — «Взметнули трубымедные...» — «Сюда не сходит ветер горный...» — «Далекий день...» — «Зима крепит своюдержаву...» — «Тревожит вновь на перепутье...»	417964	417964	Прасолов	А			Новый мир	1964	8	68	73	6
«К чему б теперь о днях недобрых...» — «И лунавлепилась в лоб кабины...» — «Сенокосный долгий день…» — «Опятьмучительно возник...» [Стихи]	417964	417964	Прасолов	Алексей			Наш современник	1969	1	68	69	2
«Ночь идет подземным переходом...» — «Средь ночи подойди сюда...»— На реке. — «Листа несорванного дрожь...» [Стихи]	417964	417964	Прасолов	Алексей			Юность	1972	5	82	82	1
Эффект объединения. [Об успехах коллектива Ленингр. машиностроит.объединения им. К. Маркса]	419737	419737	Голубев	Г.			Знамя	1971	7	143	160	
«Не на ладан, на ландыш дышите.» Стихи	424113	424113	Боков	В	Bokov	V	Юность	1961	4	4	4	1
