Year	1958	1959	1960	1961	1962	1963	1963	1963	1963	1963	1963	1963	1963	1963	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1964	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1965	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1967	1968	1968	1968	1968	1968	1968	1968	1968	1968	1968	1968	1968	1969	1969	1969	1969	1969	1969	1969	1969	1969	1969	1969	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1970	1971	1971	1971	1971	1971	1971	1971	1971	1971	1971	1971	1971	1972
Issue	6	6	7	6	10	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6	7	8	9	10	12	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	7	8	9	10	11	12	1	2	3	4	5	6	7	8	9	10	11	12	1	2	3	4	5	6	7	8	9	10	11	12	6
Chief editor	Илья Котенко	Илья Котенко	Илья Котенко	Андрей Пришвин	Борис Балашов				Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов	Анатолий Никонов		Феликс Овчаренко	Феликс Овчаренко	Феликс Овчаренко	Феликс Овчаренко	Феликс Овчаренко	Феликс Овчаренко	Феликс Овчаренко	Феликс Овчаренко	Феликс Овчаренко		Анатолий Иванов
Deputy editor	Нина Филиппова	Нина Филиппова	Василич Федоров	Борис Балашов		Борис Балашов	Борис Балашов	Борис Балашов	Борис Балашов	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук	Александр Рекемчук		Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев												Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов	Сергей Викулов			Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	Анатолий Иванов	
Deputy editor																																																																	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко
Editor	Алексей Абжудей	Олесь Гончар	Владимир Бушин	Владимир Бушин	Владимир Бушин	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Чингиз Айтматов	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев	Валерий Ганичев
Editor	Борис Бедный	Андрей Давидьянц	Олесь Гончар	Олесь Гончар	Виктор Ильин	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Владимир Амлинский	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Искра Денисова	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе
Editor	Олесь Гончар	Анатолий Калинин	Андрей Давидьянц	Андрей Давидьянц	Анатолий Калинин	Владимир Бушин	Владимир Бушин	Владимир Бушин	Владимир Бушин	Владимир Бушин	Владимир Бушин	Владимир Бушин	Владимир Бушин	Владимир Бушин	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Артем Анфиногенов	Юрий Казаков	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Сергей Высоцкий	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Нодар Думбадзе	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Игорь Захорошко	Геннадий Заостровцев
Editor	Анатолий Калинин	Александр Коваленков	Анатолий Калинин	Анатолий Калинин	Александр Коваленков	Глеб Горышин	Глеб Горышин	Глеб Горышин	Глеб Горышин	Глеб Горышин	Глеб Горышин	Глеб Горышин	Глеб Горышин	Глеб Горышин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Юрий Казаков	Юрий Казаков	Юрий Казаков	Вера Кетлинская	Юрий Казаков	Юрий Казаков	Александр Рекемчук	Юрий Казаков	Юрий Казаков	Александр Рекемчук	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Валерий Ганичев	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Игорь Захорошко	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов	Михаил Лобанов
Editor	Александр Коваленков	Владимир Котов	Александр Коваленков	Александр Коваленков	Анатолий Мицкевич	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Виктор Ильин	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Анатолий Приставкин	Вера Кетлинская	Вера Кетлинская	Владимир Солоухин	Вера Кетлинская	Вера Кетлинская	Владимир Солоухин	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Юрий Казаков	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Николай Мирошниченко	Владимир Солоухин	Николай Мирошниченко	Николай Мирошниченко	Владимир Солоухин	Михаил Лобанов	Виктор Петелин	Виктор Петелин			Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Виктор Петелин	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев	Ростислав Николаев
Editor	Владимир Котов	Сергей Сартаков	Владимир Котов	Владимир Котов	Иван Падерин	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Юрий Казаков	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Вера Кетлинская	Анатолий Приставкин	Анатолий Приставкин	Анатолий Приставкин	Владимир Солоухин	Анатолий Приставкин	Анатолий Приставкин	Василий Федоров	Анатолий Приставкин	Анатолий Приставкин	Василий Федоров	Анатолий Приставкин	Анатолий Приставкин	Анатолий Приставкин	Анатолий Приставкин	Анатолий Приставкин	Анатолий Приставкин	Вера Кетлинская	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Василий Федоров	Владимир Солоухин	Владимир Солоухин	Василий Федоров	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Виктор Петелин	Виктор Петелин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Владимир Солоухин	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник	Борис Олейник
